,
0024,-0.0452
0034,-0.1034
0044,-0.1879
0054,0.0970
0084,-0.0609
0094,-0.0487
0114,0.0314
0124,-0.0478
0144,
0164,-0.1022
0174,0.0842
0184,0.0408
0204,0.1531
1374,-0.0591
1384,-0.0371
1444,-0.0232
1445,0.0156
1454,-0.0169
1455,-0.0164
1464,-0.0615
1465,-0.0598
1474,
1475,
1484,0.0733
1485,0.1880
1494,-0.0888
1495,0.0001
1504,-0.0628
1505,-0.1100
1514,-0.1150
1515,-0.1685
1524,-0.0972
1525,-0.1383
1534,-0.0839
1535,-0.0812
1545,-0.0435
1554,-0.0892
1555,-0.1507
1564,-0.0339
1565,-0.0660
1574,-0.0956
1575,-0.1309
1584,-0.0460
1585,-0.1096
1594,-0.0225
1595,0.0322
1604,-0.0028
1605,0.0622
1614,-0.0656
1615,-0.0185
1624,-0.0616
1625,-0.1191
1635,-0.1383
1644,-0.0988
1645,-0.2331
1654,-0.1053
1655,-0.1871
1664,-0.1463
1665,-0.1970
1684,-0.0206
1685,0.0117
1704,-0.0849
1705,0.0010
1714,-0.0967
1715,-0.0707
1724,-0.0668
1725,-0.1014
1734,-0.1005
1735,-0.1040
1744,-0.0843
1745,-0.1392
1754,-0.0974
1755,-0.0834
1764,-0.0947
1765,-0.1425
1774,-0.0921
1775,-0.0687
1784,-0.0945
1785,-0.1032
1794,-0.0577
1795,-0.0729
1804,-0.0286
1805,-0.0616
1814,-0.0571
1815,-0.0770
