,0,0,0,0
0024,-0.0016806247806248,-0.19495605475606,-0.097762214812215,0.10002279115479
0034,0.067314145314145,-0.056601755001755,-0.15049808704809,0.10027828080028
0044,-0.1129644963145,-0.20871963846964,0.14936807651808,0.10043455071955
0054,0.031564057564058,-0.12949043524044,-0.23519666549667,0.10645974306774
0084,0.0047971393471394,-0.074037785187785,-0.19360851175851,0.10577613039663
0094,0.097290417690417,-0.087119111969112,-0.10347023517024,0.10149103387153
0114,0.16809236574237,-0.047968392418393,-0.19314847314847,0.10189343348543
0124,0.11064459459459,-0.036949719199719,-0.33655193050193,0.10364617550018
0144,0,0,0,0
0164,-0.0070984906984908,-0.14804845559846,-0.42744487539487,0.1054440022815
0174,0.13234015444015,-0.10969306774307,-0.52151428571428,0.10528816198666
0184,0.12341428571428,-0.01536769041769,-0.15814548964549,0.10562245121095
0204,0.18592537732538,-0.052305212355212,-0.37986493506493,0.1064253020358
1374,-0.011902211302211,-0.064090066690067,-0.044828992628993,0.10894496805897
1384,0.0053479466479467,-0.027468252018252,-0.14769541944542,0.10879274885925
1444,0.027794647244647,-0.032753755703756,0.057847139347139,0.10811617865918
1445,0.10382757107757,0.01954305019305,-0.27149118989119,0.099420656546157
1454,0.055273359073359,-0.029723868023868,-0.093723920673921,0.10812560758161
1455,0.10746402246402,0.016387188487188,-0.32757885222885,0.099965433309933
1464,-0.00072676377676381,-0.038580308880309,-0.016234292734293,0.10982193681994
1465,0.039927044577045,0.061465865215865,-0.30561498771499,0.10028591540892
1474,0,0,0,0
1475,0,0,0,0
1484,0.1786812039312,0.14172086697087,-0.17770538785539,0.10860656826957
1485,0.28478383643384,0.087454159354159,-0.54398478413478,0.10076271165321
1494,0.038156405756406,-0.042448894348894,0.037787925587925,0.10788401579502
1495,0.13113101088101,0.091964548964549,-0.40091584766585,0.10116703159003
1504,-0.02317987012987,-0.06183932958933,-0.10975379080379,0.10766476061776
1505,0.054837135837135,0.050413706563707,-0.66126235521236,0.10119583696034
1514,-0.044707406107406,-0.083442102492103,-0.080631941031941,0.1081325961741
1515,-0.041604141804142,0.076052597402598,-0.78227997542997,0.10155647086697
1524,-0.062010214110214,-0.025720937170937,0.010121533871534,0.10818023429273
1525,-0.049139136539136,0.058709898209898,-0.68138478413478,0.10188113478413
1534,-0.079736275886276,-0.022089627939628,-0.08356475956476,0.10811141611092
1535,0.01287621972622,0.064038030888031,-0.65408601263601,0.10228583818884
1545,0.10498266058266,0.068530677430678,-0.36415461565462,0.10308770779221
1554,-0.019228273078273,-0.00077313092313095,-0.018139031239031,0.1078868959284
1555,0.015474254124254,0.065924692874693,-0.43087083187083,0.10332578659179
1564,0.018365415124273,0.0023105411598801,0.0065746518596863,0.10864188753746
1565,0.13997918567919,0.10732293787294,-0.42422555282555,0.10405604685855
1574,-0.043837440507668,0.026586215406311,-0.060919442975498,0.11048099700335
1575,0.015300965250965,0.052182765882766,-0.5875729027729,0.10758731098631
1584,-0.025084942084942,-0.043179115479116,-0.1645964022464,0.10849262811513
1585,0.061568532818533,0.091601509301509,-0.41554471744472,0.10522696665497
1594,-0.0072457704457704,0.001957371007371,-0.11763524043524,0.10857346103896
1595,0.12855705510706,0.17928560898561,-0.61359896454896,0.10521135345735
1604,0.021754264654265,-0.04269992979993,0.0098718146718147,0.10990219129519
1605,0.14797753597754,0.13809025974026,-0.43384489294489,0.10550660530011
1614,-0.0351148999649,-0.02490608985609,0.19456293436293,0.1150449034749
1615,0.088672183222183,0.2352128992629,-0.915534011934,0.10700991979642
1624,-0.053517883467883,-0.0087662513162512,0.00892371007371,0.11502118954019
1625,-0.022323306423306,0.12965387855388,-0.63741793611794,0.10754142418392
1635,-0.070215496665496,0.12291777816778,-0.59298416988417,0.10694589434889
1644,-0.077795243945244,-0.012838925938926,-0.083637223587224,0.11449292172692
1645,-0.088797736047736,0.04966769041769,-0.61046461916462,0.1070076995437
1654,-0.078691839241839,0.0044351000351,0.034235731835732,0.11239668304668
1655,-0.092322885222885,0.061671323271323,-0.4034964022464,0.10728988399438
1664,-0.12017183222183,-0.049759582309582,0.025809073359073,0.11292548525798
1665,-0.05332693927694,0.016181853281853,-0.3986358020358,0.10768813899614
1684,-0.045424692874693,-0.0016590558090557,0.10886346086346,0.11600721200421
1685,0.0023779045279045,0.068839013689014,-0.0073624429624429,0.10894270814321
1704,-0.065640066690067,-0.025207142857143,0.025404861354861,0.11757145314145
1705,-0.01256504036504,0.010376307476307,-0.2873723060723,0.10893379501579
1714,-0.078499315549315,-0.037039961389961,0.066170024570025,0.11719746981397
1715,0.078157722007722,0.046815268515269,-0.16233048438048,0.10864276079326
1724,-0.074326500526501,-0.025094313794314,0.075417269217269,0.11520193225693
1725,0.0076479641979642,0.047134555984556,-0.34253606528606,0.10749594664795
1734,-0.085792576342577,-0.026975043875044,-0.0081006844506845,0.11591931186381
1735,-0.0026870656370657,0.030167041067041,-0.28747523692524,0.10790718883819
1744,-0.12753696033696,-0.075975710775711,-0.023255089505089,0.11476122358722
1745,-0.032990452790453,-0.041875096525097,-0.19289998244998,0.10730232853633
1754,-0.087533941733942,0.001034398034398,-0.02089477009477,0.11388361934012
1755,-0.025659880659881,0.066066023166023,-0.35797664092664,0.10661202211302
1764,-0.075009706863261,-0.097149078462349,0.037455959276813,0.11257905652098
1765,-0.0086119164619163,-0.0078429097929099,-0.25442599157599,0.10592001456651
1774,-0.053438522288523,-0.081201246051246,0.093591172341172,0.11089813917164
1775,0.036187978237979,0.06532693927694,-0.53747883467884,0.10430511425061
1784,-0.093566374166374,-0.050084555984556,0.087580905580905,0.10931484257634
1785,-0.063204071604072,0.10417923832924,-0.64341186381186,0.10357794699895
1794,-0.048777044577044,-0.10061870831871,-0.062642435942436,0.10855093453843
1795,-0.0095785538785539,0.029758862758863,-0.65518446823447,0.10336388294138
1804,0.015327465777466,-0.053282520182521,-0.0052541418041419,0.10876095647596
1805,0.049804492804493,-0.012245963495963,-0.61529498069498,0.1044642999298
1814,-0.091513478413478,-0.045526061776062,0.029602913302913,0.10738992646543
1815,-0.0094312916812916,-0.027557528957529,-0.40675426465427,0.10282004492804
